image,old_class,new_class,text,entity_value,entity_field
X51005663277,ITEM,COMPANY,SYARIKAT PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE,company
X51005663277,LINE_TOTAL,TOTAL,29.68,29.68,total
X51005663277,ITEM,ADDRESS,"NO 290, JALAN AIR PANAS.","NO 290, JALAN AIR PANAS. SETAPAK, 53200, KUALA LUMPUR.",address
X51005663278,ITEM,COMPANY,IKANO HANDEL SDN BHD,IKANO HANDEL SDN BHD,company
X51005663278,LINE_TOTAL,TOTAL,73.30,73.30,total
X51005663278,ITEM,ADDRESS,NO 2A JALAN COCHRANE,NO 2A JALAN COCHRANE TAMAN MALURI 55100 KUALA LUMPUR,address
X51005663279,ITEM,COMPANY,SYARIKAT PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE,company
X51005663279,LINE_TOTAL,TOTAL,148.40,148.40,total
X51005663280,ADDRESS,COMPANY,T.A.S LEISURE SDN BHD (256864-P),T.A.S LEISURE SDN BHD,company
X51005663280,LINE_TOTAL,TOTAL,102.40,102.40,total
X51005663293,ITEM,COMPANY,SWEET FOREST CAFE,SWEET FOREST CAFE,company
X51005663293,LINE_TOTAL,TOTAL,30.30,30.30,total
X51005663293,ITEM,ADDRESS,"NO 21, JLN BUNGA KANTAN","NO 21, JLN BUNGA KANTAN TAMAN P. RAMLEE SETAPAK 53000 KUALA LUMPUR",address
X51005663297,ITEM,COMPANY,BEYOND BROTHERS HARDWARE,BEYOND BROTHERS HARDWARE,company
X51005663297,LINE_TOTAL,TOTAL,599.45,599.45,total
X51005663298,ITEM,COMPANY,ZAWIAJAYA FOOD N BEVERAGE SDN BHD,ZAWIAJAYA FOOD N BEVERAGE SDN BHD,company
X51005663298,LINE_TOTAL,TOTAL,48.15,48.15,total
X51005663298,ITEM,ADDRESS,"106-107, LEVEL 1 THE MINES MALL SERDANG","106-107, LEVEL 1 THE MINES MALL SERDANG SRI KEMBANGAN, 43300 SELANGOR DARUL EHSAN.",address
X51005663301,ITEM,COMPANY,LIM SENG THO HARDWARE TRADING,LIM SENG THO HARDWARE TRADING,company
X51005663301,LINE_TOTAL,TOTAL,7.00,7.00,total
X51005663311,ITEM,COMPANY,LIM SENG THO HARDWARE TRADING,LIM SENG THO HARDWARE TRADING,company
X51005663311,LINE_TOTAL,TOTAL,7.00,7.00,total
X51005663317,ITEM,COMPANY,LIM SENG THO HARDWARE TRADING,LIM SENG THO HARDWARE TRADING,company
X51005663317,LINE_TOTAL,TOTAL,6.00,6.00,total
X51005663324,ITEM,COMPANY,SYARIKAT PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE,company
X51005663324,LINE_TOTAL,TOTAL,465.34,465.34,total
X51005663324,ITEM,ADDRESS,"NO 290, JALAN AIR PANAS,","NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.",address
X51005675095,ITEM,COMPANY,SUN VICTORY SDN BHD,SUN VICTORY SDN BHD,company
X51005675095,OTHER,TOTAL,RM4.00,RM4.00,total
X51005676536,ITEM,COMPANY,SYARIKAT PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE,company
X51005676536,LINE_TOTAL,TOTAL,93.07,93.07,total
X51005676536,ITEM,ADDRESS,"NO 290, JALAN AIR PANAS,","NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.",address
X51005676538,ITEM,COMPANY,SYARIKAT PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE,company
X51005676538,LINE_TOTAL,TOTAL,44.73,44.73,total
X51005676538,ITEM,ADDRESS,"NO 290, JALAN AIR PANAS,","NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.",address
X51005676539,ITEM,COMPANY,SYARIKAT PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE,company
X51005676539,LINE_TOTAL,TOTAL,23.32,23.32,total
X51005676539,ITEM,ADDRESS,"NO 290, JALAN AIR PANAS,","NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.",address
X51005676540,ITEM,COMPANY,SYARIKAT PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE,company
X51005676540,LINE_TOTAL,TOTAL,116.28,116.28,total
X51005676540,ITEM,ADDRESS,"NO 290, JALAN AIR PANAS,","NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.",address
X51005676541,ITEM,COMPANY,SYARIKAT PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE,company
X51005676541,LINE_TOTAL,TOTAL,94.87,94.87,total
X51005676541,ITEM,ADDRESS,"NO 290, JALAN AIR PANAS,","NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.",address
X51005676543,ITEM,COMPANY,SYARIKAT PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE,company
X51005676543,LINE_TOTAL,TOTAL,13.25,13.25,total
X51005676543,ITEM,ADDRESS,"NO 290, JALAN AIR PANAS,","NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.",address
X51005676544,ITEM,COMPANY,SYARIKAT PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE,company
X51005676544,LINE_TOTAL,TOTAL,2.12,2.12,total
X51005676544,ITEM,ADDRESS,"NO 290, JALAN AIR PANAS,","NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.",address
X51005676545,ITEM,COMPANY,SYARIKAT PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE,company
X51005676545,LINE_TOTAL,TOTAL,6.36,6.36,total
X51005676545,ITEM,ADDRESS,"NO 290, JALAN AIR PANAS,","NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.",address
X51005676546,ITEM,COMPANY,SYARIKAT PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE,company
X51005676546,LINE_TOTAL,TOTAL,21.20,21.20,total
X51005676546,ITEM,ADDRESS,"NO 290, JALAN AIR PANAS,","NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.",address
X51005676547,ITEM,COMPANY,SYARIKAT PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE,company
X51005676547,LINE_TOTAL,TOTAL,12.72,12.72,total
X51005676547,ITEM,ADDRESS,"NO 290, JALAN AIR PANAS,","NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.",address
X51005676549,ITEM,COMPANY,SYARIKAT PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE,company
X51005676549,LINE_TOTAL,TOTAL,39.75,39.75,total
X51005677328,ITEM,COMPANY,SYARIKAT PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE,company
X51005677328,LINE_TOTAL,TOTAL,5.30,5.30,total
X51005677329,ITEM,COMPANY,SYARIKAT PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE,company
X51005677329,LINE_TOTAL,TOTAL,270.30,270.30,total
X51005677331,ITEM,COMPANY,SYARIKAT PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE,company
X51005677331,LINE_TOTAL,TOTAL,60.95,60.95,total
X51005677331,ITEM,ADDRESS,"NO 290, JALAN AIR PANAS,","NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.",address
X51005677332,ITEM,COMPANY,SYARIKAT PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE,company
X51005677332,LINE_TOTAL,TOTAL,7.95,7.95,total
X51005677332,ITEM,ADDRESS,"NO 290, JALAN AIR PANAS,","NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.",address
X51005677334,ITEM,COMPANY,SYARIKAT PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE,company
X51005677334,LINE_TOTAL,TOTAL,82.68,82.68,total
X51005677335,ITEM,COMPANY,SYARIKAT PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE,company
X51005677335,LINE_TOTAL,TOTAL,74.20,74.20,total
X51005677339,ITEM,COMPANY,BEYOND BROTHERS HARDWARE,BEYOND BROTHERS HARDWARE,company
X51005677339,LINE_TOTAL,TOTAL,63.60,63.60,total
X51005685355,ITEM,COMPANY,RESTORAN IBRAHIM MAJU SB,RESTORAN IBRAHIM MAJU SB,company
X51005685355,LINE_TOTAL,TOTAL,5.30,5.30,total
X51005685355,ITEM,ADDRESS,"NO.2, GROUND FLOOR, JALAN REKO SENTRAL 8","NO.2, GROUND FLOOR, JALAN REKO SENTRAL 8 TAMAN REKO SENTRAL, 43000 KAJANG SELANGOR DE",address
X51005685357,ADDRESS,COMPANY,FARMASI MALURI S/B (587969-U),FARMASI MALURI S/B,company
X51005685357,LINE_TOTAL,TOTAL,79.35,79.35,total
X51005685357,ITEM,ADDRESS,"23, JIN BURUNG JENTAYU, TMN BUKIT","23, JIN BURUNG JENTAYU, TMN BUKIT MALURI, KEPONG, 52100 KL.",address
X51005705722,ITEM,COMPANY,ASO ELECTRICAL TRADING SDN BHD,ASO ELECTRICAL TRADING SDN BHD,company
X51005705722,LINE_TOTAL,TOTAL,248.05,248.05,total
X51005705760,ADDRESS,COMPANY,TRI SHAAS SDN BHD (728515-M),TRI SHAAS SDN BHD,company
X51005705760,LINE_TOTAL,TOTAL,21.40,21.40,total
X51005705760,ITEM,ADDRESS,"4-20, JALAN RIA 25/62 TAMAN SRI MUDA","4-20, JALAN RIA 25/62 TAMAN SRI MUDA SEKSYEN 25, 40400 SHAH ALAM SELANGOR",address
X51005705804,ITEM,COMPANY,ASO ELECTRICAL TRADING SDN BHD,ASO ELECTRICAL TRADING SDN BHD,company
X51005705804,LINE_TOTAL,TOTAL,99.00,99.00,total
X51005711401,ITEM,COMPANY,RESTORAN WAN SHENG,RESTORAN WAN SHENG,company
X51005711401,LINE_TOTAL,TOTAL,6.00,6.00,total
X51005711401,ITEM,ADDRESS,"SEKSYEN 9, BANDAR MAHKOTA CHERAS,","NO.2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR",address
X51005711403,ITEM,COMPANY,RESTORAN WAN SHENG,RESTORAN WAN SHENG,company
X51005711403,LINE_TOTAL,TOTAL,9.10,9.10,total
X51005711403,ITEM,ADDRESS,"SEKSYEN 9, BANDAR MAHKOTA CHERAS,","NO.2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR",address
X51005711404,ITEM,COMPANY,RESTORAN WAN SHENG,RESTORAN WAN SHENG,company
X51005711404,LINE_TOTAL,TOTAL,4.80,4.80,total
X51005711404,ITEM,ADDRESS,"SEKSYEN 9, BANDAR MAHKOTA CHERAS,","NO.2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR",address
X51005711441,ITEM,COMPANY,RESTORAN WAN SHENG,RESTORAN WAN SHENG,company
X51005711441,LINE_TOTAL,TOTAL,6.70,6.70,total
X51005711441,ITEM,ADDRESS,"SEKSYEN 9, BANDAR MAHKOTA CHERAS,","NO.2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR",address
X51005711442,ITEM,COMPANY,RESTORAN WAN SHENG,RESTORAN WAN SHENG,company
X51005711442,LINE_TOTAL,TOTAL,9.60,9.60,total
X51005711442,ITEM,ADDRESS,"SEKSYEN 9, BANDAR MAHKOTA CHERAS,","NO.2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR",address
X51005711445,ITEM,COMPANY,RESTORAN WAN SHENG,RESTORAN WAN SHENG,company
X51005711445,LINE_TOTAL,TOTAL,7.00,7.00,total
X51005711445,ITEM,ADDRESS,"SEKSYEN 9, BANDAR MAHKOTA CHERAS,","NO.2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR",address
X51005711447,ITEM,COMPANY,RESTORAN WAN SHENG,RESTORAN WAN SHENG,company
X51005711447,LINE_TOTAL,TOTAL,2.30,2.30,total
X51005711447,ITEM,ADDRESS,"SEKSYEN 9, BANDAR MAHKOTA CHERAS,","NO.2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR",address
X51005711451,ITEM,COMPANY,RESTORAN WAN SHENG,RSTORAN WAN SHENG,company
X51005711451,LINE_TOTAL,TOTAL,6.00,6.00,total
X51005711451,ITEM,ADDRESS,"SEKSYEN 9, BANDAR MAHKOTA CHERAS,","NO.2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR",address
X51005711452,ITEM,COMPANY,GERBANG ALAF RESTAURANTS SDN BHD,GERBANG ALAF RESTAURANTS SDN BHD,company
X51005711452,LINE_TOTAL,TOTAL,25.40,25.40,total
X51005711453,ITEM,COMPANY,GERBANG ALAF RESTAURANTS SDN BHD,GERBANG ALAF RESTAURANTS SDN BHD,company
X51005711453,LINE_TOTAL,TOTAL,8.50,8.50,total
X51005711454,ITEM,COMPANY,PAPPARICH BMC,PAPPARICH BMC,company
X51005711454,LINE_TOTAL,TOTAL,72.93,72.93,total
X51005711456,DOCUMENT_NO,COMPANY,MIZU MENTAI SDN. BHD. (1248446-V),MIZU MENTAI SDN. BHD.,company
X51005711456,LINE_TOTAL,TOTAL,65.55,65.55,total
X51005712017,ITEM,COMPANY,GERBANG ALAF RESTAURANTS SDN BHD,GERBANG ALAF RESTAURANTS SDN BHD,company
X51005712017,LINE_TOTAL,TOTAL,13.10,13.10,total
X51005712021,ITEM,COMPANY,HAPPY SNACKS ENTYERPRISE,HAPPY SNACKS ENTERPRISE,company
X51005712021,LINE_TOTAL,TOTAL,26.82,26.82,total
X51005712021,ITEM,ADDRESS,"19 & 19A, JALAN MERANTI 2A, SEKSYEI","19 & 19A, JALAN MERANTI 2A, SEKSYEI BANDAR BARU BATANG KALI, 44300",address
X51005712038,ITEM,COMPANY,SWC ENTERORISE SDN BHD,SWC ENTERPRISE SDN BHD,company
X51005712038,LINE_TOTAL,TOTAL,30.00,30.00,total
X51005712039,ITEM,COMPANY,L TWO FLORIST & HANDICRAFT,L TWO FLORIST & HANDICRAFT,company
X51005712039,LINE_TOTAL,TOTAL,9.00,9.00,total
X51005715010,ITEM,COMPANY,WATSON'S PERSONAL CARE STORES SDN BHD,WATSON'S PERSONAL CARE STORES SDN BHD,company
X51005715010,QTY,DATE,25032018,25032018,date
X51005715010,OTHER,TOTAL,RM41.45,RM41.45,total
X51005715010,OTHER,ADDRESS,"USJ SUMMIT, SUBANG (SS)","USJ SUMMIT, SUBANG (SS)",address
X51005715451,LINE_TOTAL,TOTAL,14.65,14.65,total
X51005715456,ITEM,COMPANY,KHE ELECTRICAL TRADING,KHE ELECTRICAL TRADING,company
X51005715456,LINE_TOTAL,TOTAL,101.75,101.75,total
X51005717526,ITEM,COMPANY,GERPANG ALAF RESTAURANTS SDN BHD,GERBANG ALAF RESTAURANTS SDN BHD,company
X51005717526,LINE_TOTAL,TOTAL,28.50,28.50,total
X51005719814,ITEM,COMPANY,TK DIVISION KITCHEN SDN BHD,TK DIVISION KITCHEN SDN BHD,company
X51005719814,LINE_TOTAL,TOTAL,RM 29.70,RM 29.70,total
X51005719856,ADDRESS,COMPANY,GOLDEN SCOOP SDN BHD (169609-A),GOLDEN SCOOP SDN BHD,company
X51005719856,LINE_TOTAL,TOTAL,21.50,21.50,total
X51005719862,ADDRESS,COMPANY,99 SPEED MART S/B (519537-X),99 SPEED MART S/B,company
X51005719862,LINE_TOTAL,TOTAL,3.70,3.70,total
X51005719864,ITEM,COMPANY,FUN N CHEER (MALURI),FUN N CHEER (MALURI),company
X51005719864,LINE_TOTAL,TOTAL,29.80,29.80,total
X51005719873,ITEM,COMPANY,CT281 - TEALIVE SHELL KEPONG,CT281 - TEALIVE SHELL KEPONG OTTOGO ENTERPRISE,company
X51005719873,OTHER,TOTAL,RM8.60,RM8.60,total
X51005719873,DOCUMENT_NO,ADDRESS,"SHELL STATION PT15944, MUKIM","SHELL STATION PT15944, MUKIM BATU, JLN BESAR KEPONG",address
X51005719874,ITEM,COMPANY,NADEJE PRESTIGE SDN BHD,NADEJE PRESTIGE SDN BHD,company
X51005719874,OTHER,TOTAL,RM39.00,RM39.00,total
X51005719882,ADDRESS,COMPANY,99 SPEED MART S/B (519537-X),99 SPEED MART S/B,company
X51005719882,LINE_TOTAL,TOTAL,213.00,213.00,total
X51005719883,ADDRESS,COMPANY,99 SPEED MART S/B (519537-X),99 SPEED MART S/B,company
X51005719883,OTHER,TOTAL,RM108.50,108.50,total
X51005719886,ITEM,COMPANY,SUNFISH,SUNFISH,company
X51005719886,LINE_TOTAL,TOTAL,28.70,28.70,total
X51005719886,ITEM,ADDRESS,22 LRG PERUSAHAAN 4,22 LRG PERUSAHAAN 4 KIMPAL INDS.PARK B.CAVES,address
X51005719893,ITEM,COMPANY,MR . DAKGALBI SOLARIS,MR . DAKGALBI SOLARIS,company
X51005719893,OTHER,TOTAL,71.00 (S),71.00,total
X51005719893,ITEM,ADDRESS,"NO . J-G-02, SOHO KI, SOLARIS MONT KIERA, 50","NO.J-G-02, SOHO KI, SOLARIS MONT KIERA, 50 480 KL",address
X51005719896,ITEM,COMPANY,THE STORE (MALAYSIA) SDN BHD (8199K),THE STORE (MALAYSIA) SDN BHD,company
X51005719896,LINE_TOTAL,TOTAL,35.80,35.80,total
X51005719899,ADDRESS,COMPANY,LITTLE CRAVINGS SDN BHD (562007-D),LITTLE CRAVINGS SDN BHD,company
X51005719899,OTHER,TOTAL,RM53.60,RM53.60,total
X51005719902,ADDRESS,COMPANY,KING'S CONFECTIONERY S/B 273500-U (KSB),KING'S CONFECTIONERY S/B,company
X51005719902,LINE_TOTAL,TOTAL,25.15,25.15,total
X51005719902,ITEM,ADDRESS,"NO.41, JALAN SERI BINTANG 2","NO.41, JALAN SERI BINTANG 2 TAMAN SRI BINTANG, 52100 KUALA LUMPUR.",address
X51005719904,ITEM,COMPANY,YAM FRESH,YAM FRESH,company
X51005719904,OTHER,TOTAL,RM29.30,RM29.30,total
X51005719904,ITEM,ADDRESS,"NO. 145G, JALAN RIMBUNAN RAYA 1,","NO. 145G, JALAN RIMBUNAN RAYA 1, LAMAN RIMBUNAN KEPONG, 52100 KUALA LUMPUR",address
X51005719906,ITEM,COMPANY,ZEN AND COFFEE 28 S/B,ZEN AND COFFEE 28 S/B,company
X51005719906,LINE_TOTAL,TOTAL,105.00,105.00,total
X51005719906,OTHER,ADDRESS,"NO 53, JALAN 3/62A,","NO 53, JALAN 3/62A, BANDAR MENJALARA, 52200 KUALA LUMPUR.",address
X51005719912,ITEM,COMPANY,GUARDIAN HEALTH AND BEAUTY SDN BHD,GUARDIAN HEALTH AND BEAUTY SDN BHD,company
X51005719912,LINE_TOTAL,TOTAL,12.00,12.00,total
X51005719912,ITEM,ADDRESS,GUARDIAN GIANT BREM MALL,GUARDIAN GIANT BREM MALL G-19 LEVEL G BREM MALL,address
X51005719914,ITEM,COMPANY,MR. D. I. Y. (KUCHAI) SDN BHD,MR. D. I. Y. (KUCHAI) SDN BHD,company
X51005719914,LINE_TOTAL,TOTAL,RM 53.30,53.30,total
X51005719917,ITEM,COMPANY,DOMMAL FOOD SERVICES SDN BHD,DOMMAL FOOD SERVICES SDN BHD,company
X51005719917,LINE_TOTAL,TOTAL,27.60 60.60,60.60,total
X51005722668,ITEM,COMPANY,MY HAPPY PHARMACY PLT,MY HAPPY PHARMACY PLT,company
X51005722668,LINE_TOTAL,TOTAL,20.50,20.50,total
X51005722668,ITEM,ADDRESS,"TAMAN DATO AHMAD RAZALI, JALAN AMPANG,","NO 12 GF, JALAN MAMANDA 5, TAMAN DATO AHMAD RAZALI, JALAN AMPANG, 68000 AMPANG, SELANGOR.",address
X51005722699,LINE_TOTAL,TOTAL,11.80,11.80,total
X51005722699,ITEM,ADDRESS,"NO 8, JALAN 7/118B, DESA TUN RAZAK","NO 8, JALAN 7/118B, DESA TUN RAZAK 56000 KUALA LUMPUR, MALAYSIA AMPANG POINT CENTRE",address
X51005724554,ITEM,COMPANY,KEDAI PAPAN YEW CHUAN,KEDAI PAPAN YEW CHUAN,company
X51005724554,LINE_TOTAL,TOTAL,101.76,101.76,total
X51005724621,ITEM,COMPANY,KEDAI PAPAN YEW CHUAN,KEDAI PAPAN YEW CHUAN,company
X51005724621,LINE_TOTAL,TOTAL,127.20,127.20,total
X51005724627,ITEM,COMPANY,KEDAI PAPAN YEW CHUAN,KEDAI PAPAN YEW CHUAN,company
X51005724627,LINE_TOTAL,TOTAL,174.90,174.90,total
X51005724629,ITEM,COMPANY,KEDAI PAPAN YEW CHUAN,KEDAI PAPAN YEW CHUAN,company
X51005724629,LINE_TOTAL,TOTAL,174.90,174.90,total
X51005741944,ITEM,COMPANY,BHPETROL SUBANG AIRPORT,BHPETROL SUBANG AIRPORT,company
X51005741944,OTHER,TOTAL,41.95 S,41.95,total
X51005741944,ITEM,ADDRESS,JALAN LAPANGAN TERBANG SUBANG,JALAN LAPANGAN TERBANG SUBANG 47200 SUBANG SELANGOR,address
X51005742068,ITEM,COMPANY,BHPETROL PALEKBANG,BHPETROL PALEKBANG,company
X51005742068,QTY,TOTAL,6,6.00,total
X51005742068,ITEM,ADDRESS,"LOT 1626, MUKIM KAMPUNG LAUT","LOT 1626, MUKIM KAMPUNG LAUT TUMPAT 16200 PALEKBANG, KELANTAN",address
X51005745183,ITEM,COMPANY,BILLION SIX ENTERPRISE,BILLION SIX ENTERPRISE,company
X51005745183,LINE_TOTAL,TOTAL,63.80,63.80,total
X51005745187,ITEM,COMPANY,SLF CASH & CARRY,SLF CASH & CARRY,company
X51005745187,LINE_TOTAL,TOTAL,21.20,21.20,total
X51005745188,ITEM,COMPANY,SLF CASH & CARRY,SLF CASH & CARRY,company
X51005745188,LINE_TOTAL,TOTAL,48.00,48.00,total
X51005745190,ITEM,COMPANY,SUPER SEVEN CASH & CARRY SDN BHD,SUPER SEVEN CASH & CARRY SDN BHD,company
X51005745190,OTHER,TOTAL,RM367.10,RM367.10,total
X51005745214,ADDRESS,COMPANY,99 SPEED MART S/B (519537-X),99 SPEED MART S/B,company
X51005745214,LINE_TOTAL,TOTAL,45.35,45.35,total
X51005745214,ITEM,ADDRESS,"LOT P.T. 2811, JALAN ANGSA,","LOT P.T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR",address
X51005745249,ADDRESS,COMPANY,"URBAN IDEA SDN BHD (417940-M),",URBAN IDEA SDN BHD,company
X51005745249,OTHER,TOTAL,RM22.65,RM22.65,total
X51005745249,ITEM,ADDRESS,"JALAN SS6/5A, PUSAT BANDAR KELANA JAYA,","A-G-06, DATARAN GLOMAC, JALAN SS6/5A, PUSAT BANDAR KELANA JAYA, 47301 PETALING JAYA, SELANGOR, MALAYSIA",address
X51005745296,DOCUMENT_NO,COMPANY,KMF FOODICIOUS SDN BHD (1132106-H),KMF FOODICIOUS SDN BHD,company
X51005745296,LINE_TOTAL,TOTAL,31.00,31.00,total
X51005746140,ITEM,COMPANY,YONG CEN ENTERPRISE,YONG CEN ENTERPRISE,company
X51005746140,LINE_TOTAL,TOTAL,63.35,63.35,total
X51005746140,ITEM,ADDRESS,"9, JALAN SUBANG JASA 3,","9, JALAN SUBANG JASA 3, 40150 SHAN ALAM, SELANGOR.",address
X51005749895,ITEM,COMPANY,MR. D.I.Y. (M) SDN BHD,MR. D. I. Y. (M) SDN BHD,company
X51005749895,LINE_TOTAL,TOTAL,RM 71.90,71.90,total
X51005749905,ITEM,COMPANY,ENW HARDWARE CENTRE (M) SDN. BHD.,ENW HARDWARE CENTRE (M) SDN BHD,company
X51005749905,LINE_TOTAL,TOTAL,34.00,34.00,total
X51005749905,ITEM,ADDRESS,"PETALING JAYA, SELANGOR DARUL EHSAN.","NO: G3, BLK G, JIN PJU 1A/3, ARA DAMANSARA, 47301 PETALING JAYA, SELANGOR DARUL EHSAN.",address
X51005749912,ITEM,COMPANY,MR. D.I.Y. (M) SDN BHD,MR. D.I.Y. (M) SDN BHD,company
X51005749912,LINE_TOTAL,TOTAL,38.80,38.80,total
X51005757199,LINE_TOTAL,TOTAL,4.00,4.00,total
X51005757201,LINE_TOTAL,TOTAL,88.95,88.95,total
X51005757201,ITEM,ADDRESS,"3RD FLR, AEON TAMAN MALURI SC","3RD FLR, AEON TAMAN MALURI SC JLN JEJAKA, TAMAN MALURI CHERAS ,55100 KUALA LUMPUR",address
X51005757235,LINE_TOTAL,TOTAL,31.00,31.00,total
X51005757235,ITEM,ADDRESS,"3RD FLR, AEON TAMAN MALURI SC","3RD FLR, AEON TAMAN MALURI SC JLN JEJAKA, TAMAN MALURI CHERAS, 55100 KUALA LUMPUR",address
X51005757243,LINE_TOTAL,TOTAL,5.75,5.75,total
X51005757243,ITEM,ADDRESS,"NO 8, JALAN 7/118B, DESA TUN RAZAK","NO 8, JALAN 7/118B, DESA TUN RAZAK 56000 KUALA LUMPUR, MALAYSI.",address
X51005757248,LINE_TOTAL,TOTAL,42.50,42.50,total
X51005757248,ITEM,ADDRESS,"3RD FLR, AEON TAMAN MALURI SC","3RD FLR, AEON TAMAN MALURI SC JLN JEJAKA, TAMAN MALURI CHERAS, 55100 KUALA LUMPUR",address
X51005757273,ITEM,COMPANY,MR. D.I.Y. (KUCHAI) SDN BHD,MR. D.I.Y. (KUCHAI) SDN BHD,company
X51005757273,LINE_TOTAL,TOTAL,45.00,45.00,total
X51005757286,ITEM,COMPANY,TSH POWER HARDWARE,TSH POWER HARDWARE TRADING,company
X51005757286,OTHER,TOTAL,8.00 SR*,8.00,total
X51005757286,ITEM,ADDRESS,"DATARAN SUNWAY, KOTA DAMANSARA,","13-1, JALAN PJU 5/10, DATARAN SUNWAY, KOTA DAMANSARA, 47810, PETALING JAYA, SELANGOR",address
X51005757290,ITEM,COMPANY,MR. D.I.Y. (M) SDN BHD,MR. D.I.Y. (M) SDN BHD,company
X51005757290,LINE_TOTAL,TOTAL,RM 42.90,42.90,total
X51005757294,ITEM,COMPANY,MR. D.I.Y. (M) SDN BHD,MR. D.I.Y. (M) SDN BHD,company
X51005757294,LINE_TOTAL,TOTAL,10.60,10.60,total
X51005757304,ADDRESS,COMPANY,#000002 BAIFU (M) SDN BHD,BAIFU (M) SDN BHD,company
X51005757304,LINE_TOTAL,TOTAL,35.40,35.40,total
X51005757304,ITEM,ADDRESS,"DAISO JAPAN, IOI MALL","DAISO JAPAN, IOI MALL",address
X51005757323,ITEM,COMPANY,MR. D.I.Y. (M) SDN BHD,MR. D.I.Y. (M) SDN BHD,company
X51005757323,LINE_TOTAL,TOTAL,RM 28.00,28.00,total
X51005757324,ITEM,COMPANY,MR. D.I.Y. (M) SDN BHD,MR. D.I.Y. (M) SDN BHD,company
X51005757324,LINE_TOTAL,TOTAL,RM 50.80,50.80,total
X51005757346,ITEM,COMPANY,MR. D.I.Y. (M) SDN BHD,MR. D.I.Y. (M) SDN BHD,company
X51005757346,LINE_TOTAL,TOTAL,RM 26.10,26.10,total
X51005757349,ITEM,COMPANY,GOLDEN KEY MAKER,GOLDEN KEY MAKER,company
X51005757349,OTHER,DATE,24-MAR-2018 03:44:22 PM,24-MAR-2018,date
X51005757349,LINE_TOTAL,TOTAL,21.00,21.00,total
